intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Sat Sep 09 2023|  TO Sat Sep 16 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1694197800000,230,229,230,
1694198400000,230,229,230,
1694199000000,230,229,230,
1694199600000,230,229,230,
1694200200000,230,230,231,
1694200800000,230,229,230,
1694201400000,231,230,231,
1694202000000,230,229,230,
1694202600000,230,230,230,
1694203200000,230,230,231,
1694203800000,230,230,231,
1694204400000,230,230,230,
1694205000000,231,231,231,
1694205600000,230,230,231,
1694206200000,230,230,231,
1694206800000,230,229,230,
1694207400000,230,230,230,
1694208000000,230,229,230,
1694208600000,231,230,230,
1694209200000,230,230,230,
1694209800000,230,230,230,
1694210400000,230,229,230,
1694211000000,230,230,231,
1694211600000,230,230,231,
1694212200000,230,229,230,
1694212800000,230,230,231,
1694213400000,230,230,231,
1694214000000,231,230,231,
1694214600000,230,230,231,
1694215200000,230,229,230,
1694215800000,230,229,230,
1694216400000,230,229,230,
1694217000000,230,230,231,
1694217600000,230,230,231,
1694218800000,230,230,231,
1694219400000,230,230,231,
1694220000000,230,230,231,
1694220600000,230,230,231,
1694221200000,231,230,232,
1694221800000,230,230,231,
1694222400000,231,230,231,
1694223000000,231,230,231,
1694223600000,231,230,231,
1694224200000,230,231,231,
1694224800000,230,230,230,
1694225400000,230,230,230,
1694226000000,230,230,230,
1694226600000,230,230,230,
1694227200000,230,230,231,
1694227800000,230,230,231,
1694228400000,230,230,230,
1694229000000,230,230,230,
1694229600000,230,230,230,
1694230200000,230,230,230,
1694230800000,231,230,230,
1694231400000,230,230,231,
1694232000000,230,230,230,
1694232600000,231,230,231,
1694233200000,230,230,231,
1694233800000,231,229,231,
1694234400000,230,230,230,
1694235000000,230,229,230,
1694235529000,230,230,230,
1694235600000,230,229,230,
1694236200000,230,230,230,
1694236800000,231,230,229,
1694237400000,230,229,230,
1694238000000,230,229,230,
1694238600000,230,229,229,
1694239171000,230,229,229,
1694239200000,230,229,229,
1694239800000,230,230,229,
1694240400000,230,230,229,
1694241000000,230,230,228,
1694241600000,229,230,228,
1694242200000,230,230,229,
1694242800000,230,230,229,
1694243400000,229,230,229,
1694244000000,230,229,229,
1694244600000,230,229,229,
1694245200000,230,229,229,
1694245800000,230,230,229,
1694246400000,230,229,229,
1694247000000,230,230,229,
1694248200000,230,229,230,
1694248800000,230,229,229,
1694249400000,230,229,229,
1694250000000,230,230,229,
1694250599000,231,231,230,
1694250600000,230,229,229,
1694251200000,231,230,231,
1694251778000,231,230,230,
1694251800000,231,230,230,
1694252400000,231,230,230,
1694253000000,230,229,229,
1694253600000,231,230,231,
1694254200000,231,230,230,
1694254800000,230,230,229,
1694255400000,230,229,230,
1694256000000,230,230,230,
1694256600000,230,230,230,
1694257200000,230,230,230,
1694257800000,230,229,229,
1694258400000,231,230,230,
1694259000000,230,229,229,
1694260200000,230,230,230,
1694260800000,230,229,230,
1694261400000,230,229,230,
1694262000000,230,230,230,
1694262600000,230,230,230,
1694263200000,230,230,230,
1694263800000,231,230,231,
1694264400000,230,230,231,
1694265000000,230,229,230,
1694265600000,230,230,230,
1694266200000,230,230,230,
1694266800000,231,230,231,
1694267400000,230,230,230,
1694268000000,230,230,230,
1694268599000,230,230,230,
1694268600000,230,230,230,
1694269200000,230,230,231,
1694269800000,231,230,230,
1694270400000,230,230,230,
1694271000000,230,230,230,
1694271594000,230,230,230,
1694271600000,230,230,230,
1694272200000,230,230,230,
1694272800000,230,229,230,
1694273400000,230,229,230,
1694273999000,231,229,230,
1694274600000,231,230,231,
1694275200000,230,230,230,
1694275800000,230,230,230,
1694276400000,230,230,230,
1694277000000,230,229,230,
1694277600000,230,230,231,
1694278800000,230,230,231,
1694279400000,230,230,230,
1694280000000,230,230,230,
1694280599000,230,230,230,
1694280600000,230,230,230,
1694281200000,230,230,231,
1694281800000,230,230,231,
1694282400000,230,230,230,
1694283000000,230,230,231,
1694283600000,230,230,231,
1694284200000,230,230,230,
1694284799000,230,230,231,
1694284800000,230,230,231,
1694287200000,231,231,231,
1694287800000,230,230,230,
1694288400000,230,230,230,
1694289000000,230,230,230,
1694289599000,230,230,230,
1694290200000,230,230,230,
1694290800000,230,230,230,
1694292000000,230,230,230,
1694292600000,231,230,230,
1694293200000,230,230,230,
1694293800000,230,230,230,
1694294400000,231,230,230,
1694295000000,230,230,230,
1694295600000,230,229,230,
1694296800000,230,230,231,
1694297400000,231,230,231,
1694298000000,230,229,231,
1694298600000,230,230,230,
1694299033000,231,230,231,
1694299200000,230,229,230,
1694299800000,230,230,231,
1694300400000,230,230,230,
1694301000000,230,230,231,
1694301600000,231,230,231,
1694302200000,231,230,231,
1694302800000,230,230,230,
1694303400000,231,230,230,
1694304588000,230,230,230,
1694304600000,230,230,230,
1694305800000,230,230,230,
1694306400000,230,230,231,
1694307000000,230,231,231,
1694307600000,231,230,231,
1694308199000,230,230,230,
1694308200000,230,230,230,
1694308800000,231,230,232,
1694309283000,230,230,231,
1694309400000,230,230,231,
1694310000000,230,230,231,
1694310600000,230,229,230,
1694311200000,231,230,231,
1694311800000,231,231,231,
1694312400000,230,230,231,
1694312817000,230,230,230,
1694313600000,231,230,230,
1694314800000,231,231,231,
1694315400000,230,230,230,
1694316000000,230,229,230,
1694316600000,230,230,230,
1694317200000,230,229,230,
1694317784000,230,229,230,
1694317800000,230,229,230,
1694318400000,230,229,230,
1694319000000,230,230,230,
1694319600000,230,230,230,
1694320200000,230,229,230,
1694320800000,230,230,230,
1694321400000,230,230,230,
1694322000000,230,230,230,
1694322600000,230,230,230,
1694323200000,230,230,229,
1694323800000,230,230,230,
1694324400000,230,230,229,
1694325600000,231,230,231,
1694326200000,230,230,230,
1694326800000,230,230,230,
1694327400000,230,230,230,
1694328000000,231,230,231,
1694328600000,230,230,230,
1694329200000,230,230,230,
1694330400000,230,229,230,
1694331000000,230,229,230,
1694331600000,230,229,230,
1694332200000,230,230,230,
1694332800000,230,229,230,
1694333400000,230,229,230,
1694334000000,230,230,231,
1694334599000,230,230,230,
1694334600000,230,230,230,
1694335200000,230,229,230,
1694337000000,230,229,230,
1694337600000,230,229,230,
1694338200000,230,230,230,
1694338800000,230,229,230,
1694339400000,230,229,230,
1694340000000,230,230,231,
1694340600000,230,230,230,
1694342400000,230,229,230,
1694343000000,230,229,230,
1694343600000,230,230,230,
1694344200000,230,229,230,
1694344800000,230,230,230,
1694345399000,231,230,230,
1694345400000,230,230,230,
1694346000000,230,230,229,
1694346600000,230,230,229,
1694347200000,230,230,230,
1694347800000,230,230,230,
1694348400000,230,230,229,
1694349000000,230,230,229,
1694349600000,230,230,230,
1694350199000,230,230,230,
1694350200000,230,230,230,
1694350800000,230,229,229,
1694351400000,230,230,230,
1694352000000,230,230,230,
1694352599000,230,229,230,
1694352600000,230,229,230,
1694353176000,230,229,230,
1694353200000,231,231,231,
1694353754000,231,231,231,
1694353800000,229,230,230,
1694354400000,230,230,230,
1694355000000,230,230,230,
1694355600000,230,230,230,
1694356200000,230,230,230,
1694356800000,230,229,230,
1694357400000,230,230,230,
1694358000000,230,230,230,
1694358600000,230,230,231,
1694359200000,230,230,230,
1694359800000,230,229,231,
1694360400000,230,230,230,
1694361000000,230,230,230,
1694361600000,230,230,230,
1694362200000,230,230,230,
1694363400000,230,229,230,
1694364000000,231,230,230,
1694364600000,230,230,230,
1694365200000,230,230,230,
1694365800000,231,230,231,
1694366400000,230,230,230,
1694367000000,230,230,230,
1694367600000,230,229,230,
1694368200000,230,230,231,
1694368800000,230,230,231,
1694369400000,231,230,231,
1694370000000,230,230,231,
1694370600000,230,230,231,
1694371200000,230,230,231,
1694372400000,230,230,231,
1694372943000,230,230,230,
1694373000000,230,230,230,
1694374200000,230,229,229,
1694374800000,231,230,230,
1694375400000,231,230,231,
1694375959000,230,230,230,
1694376000000,229,230,230,
1694376600000,230,230,230,
1694377200000,231,230,230,
1694377800000,231,230,231,
1694378400000,230,230,230,
1694379000000,231,231,231,
1694379600000,231,230,231,
1694380200000,230,230,231,
1694380800000,230,230,231,
1694381400000,231,230,231,
1694382000000,230,230,230,
1694382600000,231,230,231,
1694383200000,231,230,231,
1694383800000,230,230,230,
1694384400000,231,230,231,
1694385000000,230,230,231,
1694385600000,231,230,231,
1694386200000,230,230,230,
1694386800000,230,230,230,
1694387400000,230,229,230,
1694388000000,230,230,231,
1694388600000,231,230,231,
1694389200000,230,230,231,
1694389800000,230,230,231,
1694390400000,231,231,231,
1694391000000,230,230,230,
1694391600000,230,229,230,
1694392200000,230,230,231,
1694392800000,230,229,230,
1694393400000,231,230,231,
1694394000000,231,230,231,
1694394599000,230,229,230,
1694395200000,230,230,230,
1694395800000,230,229,230,
1694396400000,230,230,231,
1694397000000,230,230,230,
1694397600000,231,229,231,
1694398200000,231,229,231,
1694398800000,230,229,231,
1694399400000,230,230,230,
1694400000000,231,230,231,
1694400600000,230,230,230,
1694401200000,230,230,231,
1694401800000,230,229,230,
1694402400000,230,229,230,
1694402982000,230,229,230,
1694403000000,230,229,230,
1694403600000,230,229,230,
1694404199000,231,230,231,
1694404200000,231,230,231,
1694404799000,230,230,229,
1694404800000,230,230,230,
1694405400000,229,231,230,
1694406000000,230,231,230,
1694406600000,229,230,229,
1694407200000,229,230,229,
1694407799000,229,230,229,
1694407800000,229,230,229,
1694408400000,230,230,230,
1694409000000,229,229,230,
1694409600000,229,229,230,
1694410200000,229,229,229,
1694410800000,229,230,228,
1694411400000,229,230,230,
1694412000000,229,230,229,
1694412600000,229,229,229,
1694413200000,228,229,229,
1694413800000,228,229,228,
1694414313000,228,229,228,
1694414400000,229,229,228,
1694415000000,229,229,229,
1694415600000,228,228,228,
1694416200000,229,229,228,
1694416800000,229,229,229,
1694417400000,229,229,228,
1694418000000,229,229,228,
1694418600000,229,229,228,
1694419200000,229,229,229,
1694419800000,229,228,228,
1694420400000,229,229,228,
1694421000000,229,229,228,
1694421600000,229,229,228,
1694422200000,229,229,228,
1694422800000,229,229,228,
1694423239000,229,228,228,
1694423400000,229,230,229,
1694424000000,229,230,229,
1694424600000,229,229,229,
1694425200000,229,229,228,
1694425800000,229,229,228,
1694426400000,229,229,228,
1694427000000,229,228,228,
1694427600000,229,229,228,
1694428200000,229,229,229,
1694428800000,229,229,229,
1694429400000,229,229,228,
1694430000000,229,228,228,
